Designator,Mid X,Mid Y,Rotation,Layer
CN1,142.1,-68.4,180.0,top
D1,133.4625,-71.6,180.0,top
J1,108.1,-103.06,180.0,top
J2,134.82,-130.9,270.0,top
J3,124.36,-69.9,90.0,top
J4,152.21,-68.395,180.0,top
R1,163.8,-88.6,270.0,top
R10,147.0,-77.1,180.0,top
R11,157.1,-75.4,0.0,top
R2,140.7,-123.9,0.0,top
R3,133.462501,-68.249998,180.0,top
SW1,149.788999,-89.2535,90.0,top
SW2,149.2725,-111.944,270.0,top
U1,124.9115,-100.0685,180.0,top
