Designator,Footprint,Quantity,Value,LCSC Part #
CN1,CONN-TH_B2B-PH-K-S,1,~,
D1,1206,1,LED,
J1,Samtec_HPM-14-01-x-S_Straight_1x14_Pitch5.08mm,1,Conn_01x14_Pin,
J2,Samtec_HPM-08-01-x-S_Straight_1x08_Pitch5.08mm,1,Conn_01x08_Pin,
J3,Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm,1,Conn_01x02_Pin,
J4,SHOUHAN_TYPE-C_16PIN_2MD__073_,1,TYPE-C_16PIN_2MD__073_,
"R1, R2",1206,2,R,
"R10, R11",1206,2,5.1k R,
R3,1206,1,<1k,
"SW1, SW2",SW-TH_RKJXV1224005,2,~,
U1,DIP-40_L20.32-W51.66-P2.54-LS15.24,1,~,
